City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
122,batagay-alyta,80,RU,1524969532,88,67.8,130.41,17.72,6.2
123,marawi,92,PH,1524969533,100,8.0,124.29,73.88,3.18
124,airai,0,TL,1524969533,37,-8.93,125.41,84.77,1.95
125,dingle,0,PH,1524969534,58,11.0,122.67,88.82,9.78
126,madras,40,US,1524968100,75,44.63,-121.13,48.2,3.36
127,simoes,36,BR,1524969535,59,-7.6,-40.82,77.66,11.56
128,areosa,75,PT,1524967200,93,41.72,-8.86,48.2,2.24
129,hasanabad,75,IR,1524967200,62,35.37,51.24,60.8,20.8
130,mahajanga,0,MG,1524967200,83,-15.72,46.32,71.6,4.7
131,olga,1,US,1524967080,59,34.11,-118.17,68.0,11.41
132,kentau,0,KZ,1524969537,59,43.52,68.5,60.02,4.74
133,schluchtern,0,DE,1524966600,66,49.15,9.1,53.6,5.82
134,naze,8,NG,1524969538,95,5.43,7.07,73.97,4.74
135,mangan,0,IN,1524969538,64,27.5,88.54,42.11,1.61
136,mackenzie,1,CA,1524968160,25,55.34,-123.09,53.6,13.87
137,aykhal,32,RU,1524969539,83,65.95,111.51,33.2,7.65
138,ventspils,0,LV,1524968400,100,57.39,21.56,39.2,2.24
139,tigil,68,RU,1524969539,86,57.8,158.67,37.16,3.06
140,kamina,20,CD,1524969540,67,-8.74,25.0,64.52,4.74
141,dikson,92,RU,1524969540,97,73.51,80.55,21.77,15.82
142,berdychiv,0,UA,1524969540,92,49.89,28.58,51.92,10.67
143,comodoro rivadavia,0,AR,1524967200,65,-45.87,-67.48,41.0,6.93
144,shingu,20,JP,1524967200,68,33.72,135.99,68.0,8.05
145,kaitangata,92,NZ,1524969541,100,-46.28,169.85,48.86,11.23
146,port hardy,75,CA,1524967200,70,50.7,-127.42,48.2,11.41
147,mahbubabad,0,IN,1524969542,60,17.62,80.02,85.94,10.11
148,aksha,0,RU,1524969543,40,50.28,113.29,47.06,10.78
149,san patricio,12,PY,1524969543,80,-26.98,-56.83,73.79,2.17
150,omsukchan,80,RU,1524969543,82,62.53,155.8,27.89,5.97
151,rocha,92,UY,1524969544,98,-34.48,-54.34,66.77,5.53
152,matara,64,PE,1524969544,98,-13.74,-72.9,40.67,0.49
153,kruisfontein,20,ZA,1524969545,97,-34.0,24.73,52.64,7.99
154,kidal,0,ML,1524969545,23,18.44,1.41,75.59,7.76
155,khatanga,88,RU,1524969546,98,71.98,102.47,12.32,7.76
156,christchurch,92,NZ,1524967200,87,-43.53,172.64,51.8,8.05
157,bethel,75,US,1524966780,81,60.79,-161.76,42.8,13.87
158,saint george,0,GR,1524966600,82,39.45,22.34,55.4,4.7
159,ambulu,0,ID,1524969548,93,-8.35,113.61,84.23,9.44
160,hofn,36,IS,1524969549,98,64.25,-15.21,39.14,9.66
161,kavaratti,0,IN,1524969549,100,10.57,72.64,86.12,11.68
162,santa cruz de tenerife,0,ES,1524967200,93,28.47,-16.25,64.4,11.41
163,cururupu,68,BR,1524969550,95,-1.82,-44.87,77.12,4.74
164,thinadhoo,44,MV,1524969550,100,0.53,72.93,83.06,13.8
165,ilulissat,64,GL,1524966600,78,69.22,-51.1,15.8,16.11
166,atar,0,MR,1524969550,30,20.52,-13.05,61.82,7.65
167,arraial do cabo,20,BR,1524967200,88,-22.97,-42.02,69.8,4.7
168,sohag,0,EG,1524969551,46,26.55,31.7,60.11,2.62
169,havoysund,68,NO,1524966600,79,71.0,24.66,21.2,5.82
170,carnarvon,8,ZA,1524969552,71,-30.97,22.13,30.41,3.4
171,lumsden,20,CA,1524967200,25,50.65,-104.86,66.2,20.8
172,rawson,32,AR,1524969553,59,-43.3,-65.11,45.17,1.5
173,liman,0,RU,1524969553,92,45.78,47.23,53.27,7.2
174,ballina,20,IE,1524969554,100,54.11,-9.15,36.26,3.96
175,sinnamary,36,GF,1524969554,98,5.38,-52.96,79.46,9.22
176,bandarbeyla,20,SO,1524969554,100,9.49,50.81,81.62,12.01
177,avarua,20,CK,1524967200,57,-21.21,-159.78,78.8,9.17
178,lebedinyy,68,RU,1524969555,65,58.52,125.52,29.06,9.44
179,darhan,24,MN,1524969555,59,49.49,105.92,44.27,4.18
180,petropavlovsk-kamchatskiy,20,RU,1524967200,60,53.05,158.65,39.2,13.42
181,katsuura,0,JP,1524967200,35,33.93,134.5,71.6,5.82
182,kapaa,1,US,1524966960,50,22.08,-159.32,75.2,14.99
183,urengoy,68,RU,1524969557,96,65.96,78.37,33.29,13.47
184,garden city,90,US,1524968100,93,40.73,-73.63,55.4,3.36
185,dunedin,92,NZ,1524969558,100,-45.87,170.5,48.32,4.97
186,pisco,0,PE,1524967200,82,-13.71,-76.2,68.0,6.93
187,thompson,75,CA,1524967200,43,55.74,-97.86,51.8,5.82
188,nador,0,MA,1524967200,77,35.17,-2.93,60.8,4.7
189,hualmay,80,PE,1524969559,83,-11.1,-77.61,68.03,4.18
190,de-kastri,92,RU,1524969560,89,51.48,140.77,37.34,10.0
191,ust-ilimsk,80,RU,1524969560,55,57.96,102.73,45.08,3.62
192,gladstone,0,AU,1524969561,66,-23.84,151.26,78.29,11.45
193,inuvik,20,CA,1524967200,62,68.36,-133.71,23.0,10.29
194,sitka,0,US,1524969562,28,37.17,-99.65,69.56,17.16
195,walvis bay,0,NA,1524967200,82,-22.95,14.51,57.2,11.45
196,salamiyah,88,SY,1524969563,91,35.01,37.05,51.38,3.06
197,shu,0,KZ,1524969563,34,43.6,73.76,69.92,12.8
198,esperance,20,TT,1524967200,78,10.24,-61.45,77.0,9.17
199,epe,0,DE,1524966600,87,52.18,7.04,48.2,2.24
200,mwene-ditu,48,CD,1524969565,86,-7.01,23.45,64.34,2.06
201,mantua,75,IT,1524966900,77,45.16,10.79,64.4,5.82
202,atakpame,0,TG,1524969566,93,7.53,1.13,73.43,3.4
203,caxito,20,BR,1524967200,88,-22.65,-42.51,69.8,4.7
204,sorland,36,NO,1524969566,100,67.67,12.69,37.97,20.07
205,chertkovo,0,RU,1524969567,78,49.38,40.15,44.54,3.06
206,quatre cocos,75,MU,1524967200,57,-20.21,57.76,77.0,11.41
207,luderitz,0,NA,1524969568,94,-26.65,15.16,53.36,14.7
208,flin flon,0,CA,1524969568,35,54.77,-101.88,56.6,10.78
209,meshchovsk,32,RU,1524969569,80,54.32,35.29,38.51,2.95
210,irbeyskoye,0,RU,1524969569,81,55.64,95.45,47.42,5.53
211,lieksa,80,FI,1524969570,91,63.32,30.02,35.63,2.39
212,atambua,0,ID,1524969570,80,-9.11,124.89,86.48,4.74
213,alofi,0,NU,1524967200,61,-19.06,-169.92,82.4,10.29
214,immenstadt,0,DE,1524966600,81,47.56,10.22,53.6,6.93
215,sobolevo,100,RU,1524969572,97,54.43,31.9,43.46,3.06
