,Lat,Lon,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Set
145,7.0,-67.0,puerto carreno,co,98.6,37,40,6.93,Set 3
146,-24.0,157.0,hervey bay,au,76.08,100,76,4.38,Set 3
147,-1.0,-164.0,samusu,ws,,,,,Set 3
148,57.0,-30.0,olafsvik,is,,,,,Set 3
149,3.0,73.0,kudahuvadhoo,mv,85.35,97,0,11.32,Set 3
150,49.0,-21.0,dingle,ie,76.17,93,48,10.98,Set 4
151,-83.0,16.0,bredasdorp,za,69.8,83,68,3.36,Set 4
152,-38.0,-59.0,necochea,ar,58.35,100,92,18.03,Set 4
153,20.0,118.0,davila,ph,75.2,83,20,2.24,Set 4
154,58.0,-108.0,meadow lake,ca,19.4,73,90,9.17,Set 4
155,19.0,158.0,butaritari,ki,80.22,100,56,6.96,Set 4
156,31.0,57.0,ravar,ir,40.26,65,56,3.49,Set 4
157,-25.0,141.0,mount isa,au,71.6,78,0,7.29,Set 4
158,44.0,82.0,yining,cn,46.65,100,92,2.93,Set 4
159,85.0,9.0,barentsburg,sj,,,,,Set 4
160,3.0,141.0,vanimo,pg,81.84,100,56,12.77,Set 4
161,-57.0,145.0,hobart,au,64.4,55,40,28.86,Set 4
162,28.0,-73.0,cockburn town,bs,76.08,100,64,2.59,Set 4
163,33.0,-58.0,saint george,bm,60.8,44,20,11.41,Set 4
164,2.0,118.0,tarakan,id,81.48,98,12,4.27,Set 4
165,4.0,35.0,kaabong,ug,66.36,85,44,2.04,Set 4
166,80.0,26.0,honningsvag,no,26.6,92,90,11.41,Set 4
167,25.0,50.0,umm bab,qa,64.38,44,0,7.52,Set 4
168,53.0,-96.0,gimli,ca,30,100,76,7.18,Set 4
169,6.0,-46.0,saint-georges,gf,15.15,47,36,8.97,Set 4
170,-4.0,-22.0,georgetown,sh,87.8,52,75,9.17,Set 4
171,-12.0,141.0,morehead,pg,55.4,50,1,3.36,Set 4
172,18.0,103.0,nong khai,th,73.47,95,8,5.17,Set 4
173,45.0,-61.0,port hawkesbury,ca,21.2,67,90,17.22,Set 4
174,-12.0,-56.0,alta floresta,br,85.17,71,64,2.93,Set 4
175,15.0,-104.0,lazaro cardenas,mx,71.6,24,20,17.22,Set 4
176,-28.0,-24.0,vila velha,br,87.8,62,20,13.87,Set 4
177,33.0,-73.0,havelock,us,60.8,41,1,12.75,Set 4
178,-27.0,-98.0,pisco,pe,80.6,57,0,23.04,Set 4
179,-5.0,41.0,micheweni,tz,83.19,97,0,10.42,Set 4
180,37.0,72.0,eskasem,af,,,,,Set 4
181,62.0,99.0,tura,ru,58.89,68,0,2.37,Set 4
182,36.0,-18.0,camacha,pt,66.2,72,20,12.75,Set 4
183,54.0,-105.0,prince albert,ca,15.8,66,90,12.75,Set 4
184,41.0,-172.0,bethel,us,28.4,92,90,8.05,Set 4
185,1.0,13.0,makokou,ga,76.98,88,68,2.15,Set 4
186,44.0,77.0,boralday,kz,37.4,74,75,2.24,Set 4
187,66.0,43.0,kamenka,ru,-3.22,62,0,7.63,Set 4
188,42.0,-59.0,louisbourg,ca,,,,,Set 4
189,32.0,-114.0,fortuna foothills,us,62.6,29,1,9.17,Set 4
190,-17.0,14.0,opuwo,na,70.95,75,92,4.38,Set 4
191,38.0,-94.0,clinton,us,51.8,34,1,4.7,Set 4
192,65.0,54.0,izhma,ru,-7.72,61,12,3.94,Set 4
193,-28.0,18.0,karasburg,na,83.82,20,0,13.78,Set 4
194,-15.0,176.0,asau,tv,,,,,Set 4
195,74.0,-92.0,thompson,ca,8.6,39,75,8.05,Set 4
196,40.0,-24.0,vila franca do campo,pt,62.6,93,40,14.99,Set 4
197,-37.0,-67.0,general roca,ar,68,30,0,18.34,Set 4
198,49.0,51.0,inderborskiy,kz,,,,,Set 4
199,-48.0,-89.0,castro,cl,55.74,90,92,6.17,Set 4
200,71.0,128.0,tiksi,ru,-41.92,0,0,3.27,Set 5
201,3.0,-18.0,bonthe,sl,84.09,72,44,6.4,Set 5
202,39.0,-55.0,saint-pierre,pm,30.2,80,90,11.41,Set 5
203,30.0,167.0,severo-kurilsk,ru,23.61,100,80,9.19,Set 5
204,69.0,55.0,iskateley,ru,-12.4,39,64,5.39,Set 5
205,-16.0,61.0,grand gaube,mu,80.6,94,40,12.75,Set 5
206,-20.0,150.0,mackay,au,33.8,78,75,6.93,Set 5
207,13.0,-3.0,tougan,bf,96.96,22,8,4.38,Set 5
208,70.0,15.0,myre,no,39.2,55,75,9.17,Set 5
209,67.0,16.0,straumen,no,37.4,94,90,25.28,Set 5
210,23.0,-54.0,codrington,ag,61.41,96,8,2.26,Set 5
211,-5.0,-118.0,atuona,pf,81.75,100,68,18.03,Set 5
212,47.0,-102.0,dickinson,us,28.4,100,90,10.29,Set 5
213,-30.0,154.0,coffs harbour,au,71.6,88,0,8.05,Set 5
214,34.0,127.0,fukue,jp,51.8,81,75,4.7,Set 5
215,-33.0,-97.0,lebu,cl,60.8,77,75,6.93,Set 5
216,8.0,-7.0,seguela,ci,85.26,68,80,2.59,Set 5
217,57.0,22.0,kuldiga,lv,32,68,0,13.87,Set 5
218,-32.0,37.0,richards bay,za,72.48,72,24,8.63,Set 5
219,-4.0,150.0,kimbe,pg,74.01,100,92,8.63,Set 5
220,85.0,22.0,longyearbyen,sj,14,66,75,32.21,Set 5
221,-28.0,59.0,saint-philippe,re,19.4,40,1,12.75,Set 5
222,11.0,140.0,airai,pw,68.97,92,20,1.59,Set 5
223,-17.0,142.0,mareeba,au,77,88,20,9.17,Set 5
224,86.0,41.0,tumannyy,ru,,,,,Set 5
225,48.0,94.0,erzin,ru,62.6,82,0,5.82,Set 5
226,-30.0,161.0,byron bay,au,71.6,94,40,4.72,Set 5
227,38.0,110.0,yanan,cn,,,,,Set 5
228,23.0,-23.0,ponta do sol,cv,81.48,82,44,4.5,Set 5
229,62.0,-61.0,pangnirtung,ca,10.4,60,75,11.41,Set 5
230,-32.0,167.0,ahipara,nz,65.28,97,8,14.12,Set 5
231,68.0,119.0,zhigansk,ru,-25.18,39,0,4.94,Set 5
232,24.0,79.0,banda,in,65.91,34,0,2.93,Set 5
233,31.0,-11.0,agadir,ma,66.2,68,0,16.11,Set 5
234,60.0,9.0,rjukan,no,23,73,0,1.12,Set 5
235,3.0,79.0,galle,lk,75.2,73,75,5.82,Set 5
236,17.0,-17.0,saint-louis,sn,33.8,92,90,6.93,Set 5
237,-25.0,41.0,toliary,mg,,,,,Set 5
238,13.0,-98.0,puerto escondido,mx,80.58,100,0,13.44,Set 5
239,-12.0,13.0,lobito,ao,71.4,94,92,2.15,Set 5
240,-6.0,100.0,bengkulu,id,,,,,Set 5
241,29.0,114.0,puqi,cn,47.19,100,92,10.2,Set 5
242,-21.0,133.0,alice springs,au,71.6,56,44,8.05,Set 5
243,-14.0,145.0,cairns,au,77,88,20,9.17,Set 5
244,-20.0,-72.0,iquique,cl,73.4,56,0,13.87,Set 5
245,58.0,-66.0,iqaluit,ca,17.6,72,75,6.29,Set 5
246,-3.0,-52.0,altamira,br,89.6,59,40,4.7,Set 5
247,-88.0,128.0,new norfolk,au,64.4,55,40,28.86,Set 5
248,57.0,-105.0,la ronge,ca,14,61,90,9.17,Set 5
249,51.0,-115.0,canmore,ca,28.4,79,90,17.22,Set 5
250,-22.0,39.0,inhambane,mz,77.97,93,88,14.34,Set 6
251,-50.0,79.0,mahebourg,mu,80.6,94,40,12.75,Set 6
252,-12.0,124.0,kupang,id,80.13,97,44,5.95,Set 6
253,82.0,134.0,nizhneyansk,ru,,,,,Set 6
254,51.0,39.0,ostrogozhsk,ru,6.87,78,68,10.2,Set 6
255,30.0,120.0,fuyang,cn,45.3,97,92,10.65,Set 6
256,19.0,87.0,paradwip,in,,,,,Set 6
257,-58.0,172.0,kaitangata,nz,60.06,66,92,12.77,Set 6
258,45.0,-62.0,antigonish,ca,21.2,67,90,17.22,Set 6
259,42.0,-89.0,rochelle,us,51.8,43,1,4.7,Set 6
260,-37.0,46.0,tsihombe,mg,,,,,Set 6
261,-13.0,116.0,praya,id,81.21,100,92,0.81,Set 6
262,18.0,157.0,kavieng,pg,81.75,100,68,14.45,Set 6
263,-21.0,-52.0,tres lagoas,br,,,,,Set 6
264,-22.0,80.0,grand river south east,mu,,,,,Set 6
265,-23.0,-63.0,doctor pedro p. pena,py,,,,,Set 6
266,10.0,-81.0,palmas bellas,pa,89.6,62,40,16.11,Set 6
267,41.0,96.0,yumen,cn,40.26,72,48,6.73,Set 6
268,33.0,4.0,warqla,dz,,,,,Set 6
269,12.0,107.0,dong xoai,vn,72.3,91,36,5.61,Set 6
270,50.0,-47.0,torbay,ca,30.2,92,90,33.33,Set 6
271,30.0,96.0,pasighat,in,51.33,93,32,1.7,Set 6
272,66.0,118.0,nyurba,ru,-15.55,46,0,2.71,Set 6
273,80.0,161.0,cherskiy,ru,-11.95,39,24,9.42,Set 6
274,-9.0,46.0,mutsamudu,km,,,,,Set 6
275,53.0,-177.0,provideniya,ru,23.16,91,44,12.44,Set 6
276,23.0,102.0,simao,cn,51.51,90,0,1.92,Set 6
277,-47.0,-9.0,saldanha,za,46.29,62,64,10.2,Set 6
278,16.0,36.0,wagar,sd,66.54,96,88,3.6,Set 6
279,15.0,7.0,dakoro,ne,88.77,24,0,4.94,Set 6
280,42.0,33.0,safranbolu,tr,57.99,58,0,3.38,Set 6
281,12.0,33.0,marabba,sd,76.26,16,0,8.97,Set 6
282,-6.0,-73.0,requena,pe,60.8,25,40,9.17,Set 6
283,49.0,-73.0,normandin,ca,10.4,46,20,9.17,Set 6
284,43.0,73.0,merke,kz,27.21,67,0,3.49,Set 6
285,-30.0,55.0,saint-joseph,re,51.8,81,0,3.36,Set 6
286,20.0,36.0,sinkat,sd,,,,,Set 6
287,-20.0,-153.0,moerai,pf,77.97,100,32,15.57,Set 6
288,-23.0,11.0,henties bay,na,65.73,90,0,3.94,Set 6
289,78.0,43.0,ostrovnoy,ru,13.53,89,32,13.44,Set 6
290,0.0,24.0,yangambi,cd,75.54,92,36,3.27,Set 6
291,-5.0,-71.0,benjamin constant,br,86,74,40,2.24,Set 6
292,50.0,-96.0,pinawa,ca,35.22,92,64,5.5,Set 6
293,71.0,-78.0,clyde river,ca,-13.01,69,40,18.34,Set 6
294,6.0,32.0,juba,sd,30.2,63,0,14.99,Set 6
295,-5.0,13.0,tshela,cd,81.39,59,32,6.73,Set 6
296,45.0,-114.0,hamilton,us,62.6,93,90,17.22,Set 6
297,50.0,130.0,novobureyskiy,ru,11.73,44,0,14.23,Set 6
298,38.0,140.0,nagai,jp,40.89,86,92,3.83,Set 6
299,48.0,-138.0,sitka,us,50.88,67,92,18.48,Set 6
300,0.0,169.0,tabiauea,ki,,,,,Set 7
301,-2.0,101.0,sungaipenuh,id,68.79,97,80,0.25,Set 7
302,1.0,33.0,kamuli,ug,69.87,98,24,8.75,Set 7
303,26.0,2.0,adrar,dz,78.8,15,0,16.11,Set 7
304,32.0,-1.0,wahran,dz,,,,,Set 7
305,-6.0,132.0,tual,id,84.36,99,92,7.85,Set 7
306,-19.0,-58.0,puerto suarez,bo,95,59,75,5.82,Set 7
307,-15.0,-91.0,chicama,pe,69.8,94,75,6.93,Set 7
308,8.0,-54.0,mana,gf,41,86,90,9.17,Set 7
309,10.0,-22.0,praia,cv,87.8,38,40,4.7,Set 7
310,32.0,-117.0,primo tapia,mx,57.2,58,1,6.93,Set 7
311,4.0,104.0,cukai,my,77,94,68,2.71,Set 7
312,36.0,12.0,tabulbah,tn,,,,,Set 7
313,63.0,154.0,seymchan,ru,-15.28,44,64,9.98,Set 7
314,82.0,69.0,amderma,ru,,,,,Set 7
315,21.0,154.0,katsuura,jp,55.4,100,75,6.93,Set 7
316,18.0,66.0,porbandar,in,74.46,67,0,10.65,Set 7
317,-3.0,-57.0,barreirinha,br,85.53,76,76,2.93,Set 7
318,60.0,130.0,chagda,ru,,,,,Set 7
319,-11.0,16.0,kibala,ao,89.6,40,0,9.17,Set 7
320,-16.0,-35.0,belmonte,br,45.93,78,0,7.96,Set 7
321,-36.0,146.0,corowa,au,46.4,75,0,4.94,Set 7
322,9.0,-19.0,bubaque,gw,91.4,36,32,10.29,Set 7
323,0.0,-60.0,boa vista,br,95,32,40,14.99,Set 7
324,46.0,21.0,varias,ro,30.2,100,90,8.05,Set 7
325,22.0,16.0,marzuq,ly,60.33,48,0,2.93,Set 7
326,-18.0,-148.0,tautira,pf,82.4,65,75,1.12,Set 7
327,-4.0,33.0,isaka,tz,71.58,94,64,4.16,Set 7
328,12.0,-5.0,yorosso,ml,97.23,23,64,7.4,Set 7
329,-33.0,99.0,geraldton,au,15.8,31,75,9.17,Set 7
330,11.0,68.0,kavaratti,in,82.65,100,0,2.26,Set 7
331,16.0,62.0,sur,om,76.17,90,0,2.71,Set 7
332,27.0,59.0,iranshahr,ir,68,56,90,20.8,Set 7
333,-9.0,48.0,ambilobe,mg,73.29,98,92,6.4,Set 7
334,50.0,25.0,brody,ua,17.67,80,92,17.02,Set 7
335,42.0,-72.0,southbridge,us,35.6,15,1,14.99,Set 7
336,66.0,-48.0,nuuk,gl,51.8,40,5,1.12,Set 7
337,20.0,97.0,loikaw,mm,61.77,94,0,1.7,Set 7
338,76.0,29.0,mehamn,no,26.6,92,90,11.41,Set 7
339,15.0,71.0,malwan,in,,,,,Set 7
340,-11.0,-26.0,olinda,br,84.2,70,75,5.82,Set 7
341,-20.0,4.0,namibe,ao,77.43,100,64,9.19,Set 7
342,18.0,-49.0,bathsheba,bb,84.2,62,20,14.99,Set 7
343,-10.0,-68.0,rio branco,br,86,62,44,8.05,Set 7
344,39.0,-12.0,colares,pt,57.2,71,20,6.93,Set 7
345,-2.0,107.0,manggar,id,75.45,100,8,2.59,Set 7
346,49.0,-108.0,shaunavon,ca,31.35,99,88,3.27,Set 7
347,64.0,-150.0,college,us,24.8,85,90,3.94,Set 7
348,-24.0,-71.0,antofagasta,cl,68,64,20,17.22,Set 7
349,48.0,3.0,amilly,fr,32.25,96,92,7.52,Set 7
350,13.0,-8.0,kati,ml,95,11,0,6.93,Set 8
351,63.0,44.0,rochegda,ru,11.01,71,88,10.42,Set 8
352,10.0,-63.0,maturin,ve,91.4,41,75,8.63,Set 8
353,62.0,27.0,mikkeli,fi,32,79,90,13.87,Set 8
354,0.0,-58.0,urucara,br,83.46,81,36,2.26,Set 8
355,51.0,51.0,zachagansk,kz,,,,,Set 8
356,29.0,-93.0,lake charles,us,80.6,69,75,8.05,Set 8
357,53.0,83.0,topchikha,ru,5.88,57,0,2.82,Set 8
358,-40.0,-81.0,ancud,cl,57.81,83,64,5.95,Set 8
359,7.0,-96.0,champerico,gt,91.4,36,20,13.87,Set 8
